kode_kabupaten_kota,kode_provinsi,nama_kabupaten_kota,penduduk_pria,penduduk_wanita,penduduk_total
95.04,95,Kabupaten Tolikara,136195,115836,252031
95.05,95,Kabupaten Mamberamo Tengah,26375,23753,50128
95.06,95,Kabupaten Yalimo,55886,49488,105374
95.07,95,Kabupaten Lanny Jaya,110979,92943,203922
95.08,95,Kabupaten Nduga,60280,51893,112173
96.01,96,Kabupaten Sorong,67118,62551,129669
96.02,96,Kabupaten Sorong Selatan,29200,27779,56979
96.03,96,Kabupaten Raja Ampat,37942,34923,72865
96.04,96,Kabupaten Tambrauw,16122,14919,31041
96.05,96,Kabupaten Maybrat,23387,23217,46604
96.71,96,Kota Sorong,150236,135792,286028
